,Unnamed: 0,geo_value,date,direction,issue,lag,full_time_work_prop,stderr,sample_size,fips,aggregate_level,state
143,31,nd,2019-01-03,1.0,2020-06-23,537,0.089900068689878,0.0022647500642945,572,38,state,ND
144,32,ne,2019-01-03,1.0,2020-06-23,537,0.059986527359650994,0.00098229778863099,1629,31,state,NE
145,33,nh,2019-01-03,1.0,2020-06-23,537,0.073377809589102,0.001449737715535,921,33,state,NH
146,34,nj,2019-01-03,1.0,2020-06-23,537,0.08532386046923701,0.00061480742003438,6285,34,state,NJ
147,35,nm,2019-01-03,1.0,2020-06-23,537,0.034866899737589996,0.00060743034030087,1446,35,state,NM
148,36,nv,2019-01-03,1.0,2020-06-23,537,0.031572390941233,0.0005204418235984401,1822,32,state,NV
149,37,ny,2019-01-03,1.0,2020-06-23,537,0.07142302306321902,0.00036903248469419,15192,36,state,NY
150,38,oh,2019-01-03,1.0,2020-06-23,537,0.062513914010438,0.00044272307472208,9223,39,state,OH
151,39,ok,2019-01-03,1.0,2020-06-23,537,0.047823997592931995,0.0005430901916583901,2960,40,state,OK
152,40,or,2019-01-03,1.0,2020-06-23,537,0.042909679845403004,0.0006310503852215401,2627,41,state,OR
153,41,pa,2019-01-03,1.0,2020-06-23,537,0.07317492627452499,0.00049157712727868,9722,42,state,PA
154,42,pr,2019-01-03,1.0,2020-06-23,537,0.042398552017589,0.0006156666668038099,2525,72,state,PR
155,43,ri,2019-01-03,1.0,2020-06-23,537,0.068143187525234,0.0016782708643761,806,44,state,RI
156,44,sc,2019-01-03,1.0,2020-06-23,537,0.04778823080136701,0.00054149595273688,3043,45,state,SC
157,45,sd,2019-01-03,1.0,2020-06-23,537,0.072227770715381,0.0019353424613037,654,46,state,SD
158,46,tn,2019-01-03,1.0,2020-06-23,537,0.053792273662323004,0.000513503364848,4113,47,state,TN
159,47,tx,2019-01-03,1.0,2020-06-23,537,0.04740088616716901,0.00022636178706511,15764,48,state,TX
160,48,ut,2019-01-03,1.0,2020-06-23,537,0.066326508577633,0.0009611233337303401,1687,49,state,UT
161,49,va,2019-01-03,1.0,2020-06-23,537,0.065134856508999,0.00055548489488053,5299,51,state,VA
162,50,vi,2019-01-03,1.0,2020-06-23,537,0.044282952010183,0.0033656587858597,86,78,state,VI
163,51,vt,2019-01-03,1.0,2020-06-23,537,0.069582115306397,0.0020704324945679,521,50,state,VT
164,52,wa,2019-01-03,1.0,2020-06-23,537,0.048348235498933,0.0005043404167017901,4764,53,state,WA
165,53,wi,2019-01-03,1.0,2020-06-23,537,0.088089628169942,0.00081340307352273,4474,55,state,WI
166,54,wv,2019-01-03,1.0,2020-06-23,537,0.066090954657089,0.001115133230653,1591,54,state,WV
167,55,wy,2019-01-03,1.0,2020-06-23,537,0.053003292180834,0.0019845138385074,409,56,state,WY
168,0,ak,2019-01-04,0.0,2020-06-23,536,0.034232099284254,0.0010375572908851,526,02,state,AK
169,1,al,2019-01-04,1.0,2020-06-23,536,0.052298616475050005,0.00050569818328037,3434,01,state,AL
170,2,ar,2019-01-04,1.0,2020-06-23,536,0.052178836979285007,0.0006919497040825401,2144,05,state,AR
171,3,as,2019-01-04,0.0,2020-06-23,536,0.08754362593053899,0.0069062831807639,35,60,state,AS
172,4,az,2019-01-04,1.0,2020-06-23,536,0.040108673681392995,0.00038507285918309,4164,04,state,AZ
173,5,ca,2019-01-04,0.0,2020-06-23,536,0.039517361774225,0.00018492260857531998,23112,06,state,CA
174,6,co,2019-01-04,1.0,2020-06-23,536,0.049574349398501,0.00052197085574407,3521,08,state,CO
175,7,ct,2019-01-04,1.0,2020-06-23,536,0.086245030737745,0.0010228599789498,2578,09,state,CT
176,8,dc,2019-01-04,1.0,2020-06-23,536,0.064029403502252,0.0015202765848292,449,11,state,DC
177,9,de,2019-01-04,1.0,2020-06-23,536,0.069808633958024,0.0017662524198912,563,10,state,DE
178,10,fl,2019-01-04,1.0,2020-06-23,536,0.041654423744436,0.00023090711377712997,11373,12,state,FL
179,11,ga,2019-01-04,1.0,2020-06-23,536,0.043458145586088,0.00036901075776007004,5522,13,state,GA
180,12,gu,2019-01-04,-1.0,2020-06-23,536,0.06748238367276,0.0027043685722679,170,66,state,GU
181,13,hi,2019-01-04,0.0,2020-06-23,536,0.020067679615593997,0.0006088563476043201,836,15,state,HI
182,14,ia,2019-01-04,1.0,2020-06-23,536,0.085947063712326,0.0010348785003536,2627,19,state,IA
183,15,id,2019-01-04,0.0,2020-06-23,536,0.036565797169361,0.00074388378951967,959,16,state,ID
184,16,il,2019-01-04,1.0,2020-06-23,536,0.05216880915661,0.00034514047015638997,9679,17,state,IL
185,17,in,2019-01-04,1.0,2020-06-23,536,0.048061027122723005,0.00048535778903699005,4807,18,state,IN
186,18,ks,2019-01-04,1.0,2020-06-23,536,0.064054762053165,0.00080557973275012,2345,20,state,KS
187,19,ky,2019-01-04,1.0,2020-06-23,536,0.062557484629765,0.0006990140409542901,3277,21,state,KY
