fips,date,state,country,aggregate_level,current_icu,current_hospitalized
48007,2020-08-11,TX,USA,county,5,14
48007,2020-08-12,TX,USA,county,5,14
48007,2020-08-13,TX,USA,county,4,12
48007,2020-08-14,TX,USA,county,4,12
48007,2020-08-15,TX,USA,county,3,11
48007,2020-08-16,TX,USA,county,4,11
48007,2020-08-17,TX,USA,county,3,11
48007,2020-08-18,TX,USA,county,3,11
48007,2020-08-19,TX,USA,county,3,11
48007,2020-08-20,TX,USA,county,3,10
48007,2020-08-21,TX,USA,county,3,11
48007,2020-08-22,TX,USA,county,3,10
48007,2020-08-23,TX,USA,county,3,10
48007,2020-08-24,TX,USA,county,3,10
48007,2020-08-25,TX,USA,county,3,11
48007,2020-08-26,TX,USA,county,3,10
48007,2020-08-27,TX,USA,county,3,8
48007,2020-08-28,TX,USA,county,3,8
48007,2020-08-29,TX,USA,county,3,7
48007,2020-08-30,TX,USA,county,2,7
48007,2020-08-31,TX,USA,county,2,6
48007,2020-09-01,TX,USA,county,2,6
48007,2020-09-02,TX,USA,county,2,6
48007,2020-09-03,TX,USA,county,2,6
48007,2020-09-04,TX,USA,county,2,6
48007,2020-09-05,TX,USA,county,2,6
48007,2020-09-06,TX,USA,county,2,6
48007,2020-09-07,TX,USA,county,2,6
48007,2020-09-08,TX,USA,county,2,5
48007,2020-09-09,TX,USA,county,1,5
48007,2020-09-10,TX,USA,county,2,6
48007,2020-09-11,TX,USA,county,2,5
48007,2020-09-12,TX,USA,county,2,5
48009,2020-04-12,TX,USA,county,0,0
48009,2020-04-13,TX,USA,county,0,0
48009,2020-04-14,TX,USA,county,0,0
48009,2020-04-15,TX,USA,county,0,0
48009,2020-04-16,TX,USA,county,0,0
48009,2020-04-17,TX,USA,county,0,0
48009,2020-04-18,TX,USA,county,0,0
48009,2020-04-19,TX,USA,county,0,0
48009,2020-04-20,TX,USA,county,0,0
48009,2020-04-21,TX,USA,county,0,0
48009,2020-04-22,TX,USA,county,0,0
48009,2020-04-23,TX,USA,county,0,0
