index,model_abbr,region_id,forecast_date,target_date,target_type,value
2840,COVIDhub-ensemble,2090,2020-09-07,2020-10-05,cases,109.0
2848,COVIDhub-ensemble,2100,2020-09-07,2020-09-14,cases,0.0
2856,COVIDhub-ensemble,2100,2020-09-07,2020-09-21,cases,0.0
2864,COVIDhub-ensemble,2100,2020-09-07,2020-09-28,cases,0.0
2872,COVIDhub-ensemble,2100,2020-09-07,2020-10-05,cases,0.0
2880,COVIDhub-ensemble,2105,2020-09-07,2020-09-14,cases,0.0
2888,COVIDhub-ensemble,2105,2020-09-07,2020-09-21,cases,0.0
2896,COVIDhub-ensemble,2105,2020-09-07,2020-09-28,cases,0.0
2904,COVIDhub-ensemble,2105,2020-09-07,2020-10-05,cases,0.0
2912,COVIDhub-ensemble,2110,2020-09-07,2020-09-14,cases,14.0
2920,COVIDhub-ensemble,2110,2020-09-07,2020-09-21,cases,13.0
2928,COVIDhub-ensemble,2110,2020-09-07,2020-09-28,cases,14.0
2936,COVIDhub-ensemble,2110,2020-09-07,2020-10-05,cases,13.0
2944,COVIDhub-ensemble,2122,2020-09-07,2020-09-14,cases,11.0
2952,COVIDhub-ensemble,2122,2020-09-07,2020-09-21,cases,10.0
2960,COVIDhub-ensemble,2122,2020-09-07,2020-09-28,cases,11.0
2968,COVIDhub-ensemble,2122,2020-09-07,2020-10-05,cases,10.0
2976,COVIDhub-ensemble,2130,2020-09-07,2020-09-14,cases,1.0
2984,COVIDhub-ensemble,2130,2020-09-07,2020-09-21,cases,0.0
2992,COVIDhub-ensemble,2130,2020-09-07,2020-09-28,cases,0.0
3000,COVIDhub-ensemble,2130,2020-09-07,2020-10-05,cases,0.0
3008,COVIDhub-ensemble,2150,2020-09-07,2020-09-14,cases,2.0
3016,COVIDhub-ensemble,2150,2020-09-07,2020-09-21,cases,1.0
3024,COVIDhub-ensemble,2150,2020-09-07,2020-09-28,cases,1.0
3032,COVIDhub-ensemble,2150,2020-09-07,2020-10-05,cases,1.0
3040,COVIDhub-ensemble,2158,2020-09-07,2020-09-14,cases,0.0
3048,COVIDhub-ensemble,2158,2020-09-07,2020-09-21,cases,0.0
3056,COVIDhub-ensemble,2158,2020-09-07,2020-09-28,cases,0.0
3064,COVIDhub-ensemble,2158,2020-09-07,2020-10-05,cases,0.0
3072,COVIDhub-ensemble,2164,2020-09-07,2020-09-14,cases,0.0
3080,COVIDhub-ensemble,2164,2020-09-07,2020-09-21,cases,0.0
3088,COVIDhub-ensemble,2164,2020-09-07,2020-09-28,cases,0.0
3096,COVIDhub-ensemble,2164,2020-09-07,2020-10-05,cases,0.0
3104,COVIDhub-ensemble,2170,2020-09-07,2020-09-14,cases,34.0
3112,COVIDhub-ensemble,2170,2020-09-07,2020-09-21,cases,34.0
