date,state_code,county_name,fips_code,acute_staffed,acute_occupied,icu_staffed,icu_occupied,ventilators,ventilators_occupied,covid_confirmed,covid_suspected,covid_icu,covid_ventilator
2020-04-25,NV,Elko,32007,75,7,7,2,6,0,0,1,0,0
2020-04-25,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-25,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-25,NV,Humboldt,32013,25,7,3,0,7,0,0,0,0,0
2020-04-25,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-25,NV,Lincoln,32017,4,1,0,0,3,0,0,0,0,0
2020-04-25,NV,Lyon,32019,14,0,0,0,0,0,0,0,0,0
2020-04-25,NV,Mineral,32021,11,4,0,0,1,0,0,0,0,0
2020-04-25,NV,Nye,32023,0,0,0,0,0,0,0,0,0,0
2020-04-25,NV,Pershing,32027,0,0,0,0,0,0,0,0,0,0
2020-04-25,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
