,Unnamed: 0,geo_value,date,direction,issue,lag,smoothed_adj_doctor_visits,stderr,sample_size,fips,aggregate_level,state
304,49,wv,2020-02-06,0.0,2020-06-09,124,0.0,,,54,state,WV
305,50,wy,2020-02-06,0.0,2020-06-09,124,0.0,,,56,state,WY
306,0,ak,2020-02-07,0.0,2020-06-09,123,0.0,,,02,state,AK
307,1,al,2020-02-07,0.0,2020-06-09,123,0.048417,,,01,state,AL
308,2,ar,2020-02-07,0.0,2020-06-09,123,0.18019200000000002,,,05,state,AR
309,3,az,2020-02-07,0.0,2020-06-09,123,0.075132,,,04,state,AZ
310,4,ca,2020-02-07,0.0,2020-06-09,123,0.15315,,,06,state,CA
311,5,co,2020-02-07,0.0,2020-06-09,123,0.205672,,,08,state,CO
312,6,ct,2020-02-07,0.0,2020-06-09,123,0.183418,,,09,state,CT
313,7,dc,2020-02-07,0.0,2020-06-09,123,0.0,,,11,state,DC
314,8,de,2020-02-07,0.0,2020-06-09,123,0.0,,,10,state,DE
315,9,fl,2020-02-07,0.0,2020-06-09,123,0.144452,,,12,state,FL
316,10,ga,2020-02-07,0.0,2020-06-09,123,0.044761,,,13,state,GA
317,11,hi,2020-02-07,0.0,2020-06-09,123,0.0,,,15,state,HI
318,12,ia,2020-02-07,0.0,2020-06-09,123,0.086509,,,19,state,IA
319,13,id,2020-02-07,0.0,2020-06-09,123,0.0,,,16,state,ID
320,14,il,2020-02-07,0.0,2020-06-09,123,0.14560399999999998,,,17,state,IL
321,15,in,2020-02-07,0.0,2020-06-09,123,0.08645599999999999,,,18,state,IN
322,16,ks,2020-02-07,0.0,2020-06-09,123,0.024175,,,20,state,KS
323,17,ky,2020-02-07,0.0,2020-06-09,123,0.125223,,,21,state,KY
324,18,la,2020-02-07,0.0,2020-06-09,123,0.259221,,,22,state,LA
325,19,ma,2020-02-07,0.0,2020-06-09,123,0.024381,,,25,state,MA
326,20,md,2020-02-07,0.0,2020-06-09,123,0.29517600000000005,,,24,state,MD
327,21,me,2020-02-07,0.0,2020-06-09,123,0.0,,,23,state,ME
328,22,mi,2020-02-07,0.0,2020-06-09,123,0.267311,,,26,state,MI
329,23,mn,2020-02-07,0.0,2020-06-09,123,0.004637,,,27,state,MN
330,24,mo,2020-02-07,0.0,2020-06-09,123,0.196062,,,29,state,MO
331,25,ms,2020-02-07,0.0,2020-06-09,123,0.186623,,,28,state,MS
332,26,mt,2020-02-07,0.0,2020-06-09,123,0.0,,,30,state,MT
333,27,nc,2020-02-07,0.0,2020-06-09,123,0.042872,,,37,state,NC
334,28,nd,2020-02-07,0.0,2020-06-09,123,0.0,,,38,state,ND
335,29,ne,2020-02-07,0.0,2020-06-09,123,0.072992,,,31,state,NE
336,30,nh,2020-02-07,0.0,2020-06-09,123,0.10237,,,33,state,NH
337,31,nj,2020-02-07,0.0,2020-06-09,123,0.35991799999999996,,,34,state,NJ
338,32,nm,2020-02-07,0.0,2020-06-09,123,0.0,,,35,state,NM
